Student Name, Student Number,Semester:1 Period:1, Room,Semester:1 Period:2, Room,Semester:1 Period:3, Room,Semester:1 Period:4, Room,Semester:2 Period:1, Room,Semester:2 Period:2, Room,Semester:2 Period:3, Room,Semester:2 Period:4, Room,
"Dolly,Clementine",467753953,CIVCAR,2010,SNC2D1,1036,TGJ2O1,1032,ENG2D1,1034,MPM2D1,2007,BBI2O1,PB10,CHC2D1,2036,PAF2O9,1013,
"Kip,Nata",416766165,ICS4UE,2038A,SPH3U1,2036,DCO3OC,2028,SBI3U1,1031,SCH3U1,2023,ENG3U1,2008,SPH3U1,2018,SPH3U1,2023,
"Jobie,Willow",414484662,CHC2D1,2036,HFN2O1,2024A,TGJ2O1,1032,BBI2O1,PB10,ENG2D1,1034,MPM2D1,2007,SNC2D1,1035,PAI2O1,PB6,
"Augustine,Clarice",495283585,SNC1D7,1065,ENG1DG,1059,AMI1O1,1069,CGC1DG,2026,PPL1O9,1012,FSF1DG,1059,MTH1W7,1065,BTT1O1,2024,
"Merlina,Vonnie",461511559,ENG2DG,1063,AWC2O1,2005,HFN2O1,1014,ICS2OG,2038A,CIVCAR,2010,MPM2DG,1062,SNC2DG,2011,CHC2DG,2034,
"Carroll,Florenza",491449679,CIVCAR,PB11,AVI2O1,2004,TGJ2O1,1032,FSF2D1,2028,SNC2D1,1035,ENG2D1,1034,CHC2D1,2036,MPM2D2,PB5,
"Yvette,Steffi",484822249,ENG3U1,PB3,ICS3U6,2038A,MHF4U1,PB3,HSP3U1,2024A,ICS3U6,2038A,SCH3U1,2023,MCV4U1,PB3,SBI3U1,1031,
"Hedy,Therine",496504194,SPH4U1,2044,MHF4U1,PB2,SCH4U1,1044,ADB4M1,1070,SPARE,Cafeteria,MCV4U1,PB3,PAF4O9,1013,CLN4U1,PB9,
"Catina,Auroora",415070368,SPH3U1,1050,MCR3U1,PB10,ENG3U1,2009,CHY4U1,PB5,HSP3U1,2024A,CGG3O1,PB6,SBI3U1,1031,HPW3C1,PB2,
"Jorry,Ruthann",430332294,EMPTY,Cafeteria,EMPTY,Cafeteria,EMPTY,Cafeteria,SPARE,Cafeteria,SPARE,Cafeteria,EMPTY,Cafeteria,SPARE,Cafeteria,SPARE,Cafeteria,
"Merrilee,Luisa",442092145,BAF3M1,2024,SCH4UE,1044,EMPTY,Cafeteria,ENG3UE,1063,SBI3U6,1031,SCH3U6,2011,ENG4UE,2034,CLN4U1,PB9,
"Twyla,Brandi",410802261,BAF3M1,2024,ENG2D1,1034,SBI3U6,1031,SCH3U6,1044,CHC2D1,2036,ADB2O1,1070,SNC2D2,1044,MPM2D2,PB5,
"Doro,Petronilla",481467544,EMPTY,Cafeteria,SPARE,Cafeteria,SPARE,Cafeteria,EMPTY,Cafeteria,SPARE,Cafeteria,EMPTY,Cafeteria,SPARE,Cafeteria,EMPTY,Cafeteria,
"Meris,Maren",453708583,ENG2DG,1063,SNC2DG,2011,SPH3U1,1044,SCH3U6,1044,ICS3U6,2038A,MPM2DG,1062,MCR3U6,2025,BBI2O1,PB10,
"Ashely,Nani",465718252,ENG4C1,PB3,IDC3O1,PB6,SPARE,Cafeteria,HFC3M1,1014,GLE4O1,1060,EMPTY,Cafeteria,HSB4U1,PB9,PPL4O9,1024B,
"Vilhelmina,Agretha",429717928,ICS4UE,2038A,PAF3O9,1013,MHF4U1,PB3,SPH3U1,1059,ENG3U1,2008,SCH3U1,2023,MCR3U6,2025,SCH3U1,1055,
"Krissie,Gaynor",467618793,SNC1P1,1044,FSF1D1,1033,CGC1P1,1061,AMI1O4,1069,ENG1D1,2035,MTH1W1,2010A,GLE1O1,1063,PAI1O1,2028,
"Blancha,Marleen",498003350,FSF1D1,1033,ADA1O1,1070,MTH1W1,2010A,BTT1O1,2024,ENG1D1,2035,SNC1D1,1050,CGC1D1,2010,PPL1O9,1024A,
"Una,Fay",433363436,CGC1D1,2009,SNC1D1,2023,AMI1O1,1069,MTH1W1,2010A,FSF1D1,1033,BTT1O1,1033,PPL1O8,1012,FSF1D1,1033,
"Ofella,Annmarie",469498818,CHC2D1,2036,FSF2D1,2028,BBI2O1,PB10,CIVCAR,PB11,EMPTY,Cafeteria,ENG2D1,1034,MCR3U6,2025,MPM2D2,PB5,
"Denice,Brittan",403294259,CLU3M1,1059,SBI4UE,1031,IDC4UE,PB8,ENG3UE,1063,SCH3U1,1044,MCR3U1,2037,IDC4U1,PB8,SPH3U1,2023,
"Kathi,Guillemette",450403043,PPL4O9,1024B,MHF4U1,PB2,SPH4U1,2044,PSK4U1,1061,ENG4U1,2006,ENG4U1,2006,SCH4U1,2023,MCV4U1,PB3,
"Wanda,Emili",430868885,SPARE,Cafeteria,MHF4U1,PB5,IDC4UE,PB8,SPARE,Cafeteria,SBI3U6,1031,EWC4U1,2034,ENG4UE,2034,MCV4U1,PB4,
"Clarinda,Christean",498724231,SBI3U1,1031,SCH3U1,1055,MCR3U1,PB2,ENG3U1,2008,TEJ3M1,1037,BAF3M1,2024,PPL3O9,1024B,SPH3U1,2023,
